start,stop,count
2,33333333,2050943
33333333,66666664,1882370
66666664,99999995,1828142
99999995,133333326,1794892
133333326,166666657,1770655
166666657,199999988,1751934
199999989,233333320,1736636
233333320,266666651,1724178
266666651,299999982,1712575
299999982,333333313,1702954
333333313,366666644,1694222
366666644,399999975,1686825
399999976,433333307,1679204
433333307,466666638,1673257
466666638,499999969,1667079
499999969,533333300,1660724
533333300,566666631,1656461
566666631,599999962,1651651
599999963,633333294,1646885
633333294,666666625,1642839
666666625,699999956,1638505
699999956,733333287,1634559
733333287,766666618,1630262
766666618,799999949,1628423
799999950,833333281,1624469
833333281,866666612,1621067
866666612,899999943,1617503
899999943,933333274,1615732
933333274,966666605,1612716
966666605,999999936,1609872
