genus,species,year,locality,N-America,S-America,Europe,Africa,Asia,Oceania,Antarctica
Synalus,Synalus angustus,1876,Australia (New South Wales),0,0,0,0,0,1,0
Synalus,Synalus terrosus,1895,Australia (Tasmania),0,0,0,0,0,1,0
Synema,Synema spinosum,1929,Brazil,0,1,0,0,0,0,0
Synema,Synema socium,1891,Panama,1,0,0,0,0,0,0
Synema,Synema steckeri,1907,"Togo, Sudan",0,0,0,1,0,0,0
Synema,Synema spirale,1907,South America,0,1,0,0,0,0,0
Synema,Synema schulzi,1907,Brazil,0,1,0,0,0,0,0
Synema,Synema scheffleri,1907,East Africa,0,0,0,1,0,0,0
Synema,Synema simoneae,1919,East Africa,0,0,0,1,0,0,0
Synema,Synema setiferum,1929,Brazil,0,1,0,0,0,0,0
Synema,Synema riflense,1909,South Africa,0,0,0,1,0,0,0
Synema,Synema revolutum,2010,"China, India",0,0,0,0,1,0,0
Synema,Synema scalare,1913,Central Africa,0,0,0,1,0,0,0
Synema,Synema rubromaculatum,1880,"Colombia, Brazil",0,1,0,0,0,0,0
Synema,Synema quadrifasciatum,1907,East Africa,0,0,0,1,0,0,0
Synema,Synema quadratum,1929,Brazil,0,1,0,0,0,0,0
Synema,Synema reimoseri,1928,Congo,0,0,0,1,0,0,0
Synema,Synema quadrimaculatum,1961,Senegal,0,0,0,1,0,0,0
Synema,Synema variabile,1939,Ethiopia,0,0,0,1,0,0,0
Synema,Synema viridans,1896,USA,1,0,0,0,0,0,0
Synema,Synema viridisterne,1966,Ivory Coast,0,0,0,1,0,0,0
Synema,Synema vittatum,1880,Peru,0,1,0,0,0,0,0
Synema,Synema utotchkini,1995,"Macedonia, Turkey, Kazakhstan, Kyrgyzstan",0,0,1,0,1,0,0
Synema,Synema vachoni,1964,Ivory Coast,0,0,0,1,0,0,0
Synema,Synema valentinieri,1907,Egypt,0,0,0,1,0,0,0
Synema,Synema vallotoni,1923,South Africa,0,0,0,1,0,0,0
Synema,Synema tibiale,1907,Malawi,0,0,0,1,0,0,0
Synema,Synema togoense,1907,Togo,0,0,0,1,0,0,0
Synema,Synema tricalcaratum,1929,Brazil,0,1,0,0,0,0,0
Synema,Synema trimaculosum,1956,Ecuador,0,1,0,0,0,0,0
Synema,Synema subabnorme,1947,Uganda,0,0,0,1,0,0,0
Synema,Synema suteri,1907,New Zealand,0,0,0,0,0,1,0
Synema,Synema tadzhikistanicum,1960,Central Asia,0,0,0,0,1,0,0
Synema,Synema ternetzi,1939,Paraguay,0,1,0,0,0,0,0
Synema,Synema nigrum,1880,Peru,0,1,0,0,0,0,0
Synema,Synema nigrotibiale,1919,East Africa,0,0,0,1,0,0,0
Synema,Synema nigriventer,1907,East Africa,0,0,0,1,0,0,0
Synema,Synema nigrianum,1929,Venezuela to Brazil,0,1,0,0,0,0,0
Synema,Synema neomexicanum,1939,USA,1,0,0,0,0,0,0
Synema,Synema nangoku,2002,"China, Japan",0,0,0,0,1,0,0
Synema,Synema mysorense,1980,India,0,0,0,0,1,0,0
Synema,Synema multipunctatum,1895,"Yemen, Congo, Guinea",0,0,0,1,1,0,0
Synema,Synema marlothi,1907,South Africa,0,0,0,1,0,0,0
Synema,Synema marcidum,1907,Guinea-Bissau,0,0,0,1,0,0,0
Synema,Synema mandibulare,1907,East Africa,0,0,0,1,0,0,0
Synema,Synema madidum,1895,Mexico,1,0,0,0,0,0,0
Synema,Synema maculosum,1891,Central America,1,0,0,0,0,0,0
Synema,Synema maculatovittatum,1954,French Guiana,0,1,0,0,0,0,0
Synema,Synema luteovittatum,1891,Brazil,0,1,0,0,0,0,0
Synema,Synema luridum,1880,Peru,0,1,0,0,0,0,0
Synema,Synema pusillum,1955,Venezuela,0,1,0,0,0,0,0
Synema,Synema putum,1891,Guatemala,1,0,0,0,0,0,0
